# Truth table
# Generated from circuit NextStateControlUnit
# Exported on Tue May 02 16:04:46 CEST 2023

# Hints and Notes on Formatting:
# * You can edit this file then import it back into Logisim!
# * Anything after a '#' is a comment and will be ignored.
# * Blank lines and separator lines (e.g., ~~~~~~) are ignored.
# * Keep column names simple (no spaces, punctuation, etc.)
# * 'Name[N..0]' indicates an N+1 bit variable, whereas
#   'Name' by itself indicates a 1-bit variable.
# * You can use 'x' or '-' to indicate "don't care" for both
#   input and output bits.
# * You can use binary (e.g., '10100011xxxx') notation or
#   or hex (e.g., 'C3x'). Logisim will figure out which is which.

CurrentState[3..0] Op[5..0] Overflow | NextState[3..0]
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
       0000         000000     0     |      0001      
       0000         000000     1     |      0001      
       0000         000001     0     |      0001      
       0000         000001     1     |      0001      
       0000         000010     0     |      0001      
       0000         000010     1     |      0001      
       0000         000011     0     |      0001      
       0000         000011     1     |      0001      
       0000         000100     0     |      0001      
       0000         000100     1     |      0001      
       0000         000101     0     |      0001      
       0000         000101     1     |      0001      
       0000         000110     0     |      0001      
       0000         000110     1     |      0001      
       0000         000111     0     |      0001      
       0000         000111     1     |      0001      
       0000         001000     0     |      0001      
       0000         001000     1     |      0001      
       0000         001001     0     |      0001      
       0000         001001     1     |      0001      
       0000         001010     0     |      0001      
       0000         001010     1     |      0001      
       0000         001011     0     |      0001      
       0000         001011     1     |      0001      
       0000         001100     0     |      0001      
       0000         001100     1     |      0001      
       0000         001101     0     |      0001      
       0000         001101     1     |      0001      
       0000         001110     0     |      0001      
       0000         001110     1     |      0001      
       0000         001111     0     |      0001      
       0000         001111     1     |      0001      
       0000         010000     0     |      0001      
       0000         010000     1     |      0001      
       0000         010001     0     |      0001      
       0000         010001     1     |      0001      
       0000         010010     0     |      0001      
       0000         010010     1     |      0001      
       0000         010011     0     |      0001      
       0000         010011     1     |      0001      
       0000         010100     0     |      0001      
       0000         010100     1     |      0001      
       0000         010101     0     |      0001      
       0000         010101     1     |      0001      
       0000         010110     0     |      0001      
       0000         010110     1     |      0001      
       0000         010111     0     |      0001      
       0000         010111     1     |      0001      
       0000         011000     0     |      0001      
       0000         011000     1     |      0001      
       0000         011001     0     |      0001      
       0000         011001     1     |      0001      
       0000         011010     0     |      0001      
       0000         011010     1     |      0001      
       0000         011011     0     |      0001      
       0000         011011     1     |      0001      
       0000         011100     0     |      0001      
       0000         011100     1     |      0001      
       0000         011101     0     |      0001      
       0000         011101     1     |      0001      
       0000         011110     0     |      0001      
       0000         011110     1     |      0001      
       0000         011111     0     |      0001      
       0000         011111     1     |      0001      
       0000         100000     0     |      0001      
       0000         100000     1     |      0001      
       0000         100001     0     |      0001      
       0000         100001     1     |      0001      
       0000         100010     0     |      0001      
       0000         100010     1     |      0001      
       0000         100011     0     |      0001      
       0000         100011     1     |      0001      
       0000         100100     0     |      0001      
       0000         100100     1     |      0001      
       0000         100101     0     |      0001      
       0000         100101     1     |      0001      
       0000         100110     0     |      0001      
       0000         100110     1     |      0001      
       0000         100111     0     |      0001      
       0000         100111     1     |      0001      
       0000         101000     0     |      0001      
       0000         101000     1     |      0001      
       0000         101001     0     |      0001      
       0000         101001     1     |      0001      
       0000         101010     0     |      0001      
       0000         101010     1     |      0001      
       0000         101011     0     |      0001      
       0000         101011     1     |      0001      
       0000         101100     0     |      0001      
       0000         101100     1     |      0001      
       0000         101101     0     |      0001      
       0000         101101     1     |      0001      
       0000         101110     0     |      0001      
       0000         101110     1     |      0001      
       0000         101111     0     |      0001      
       0000         101111     1     |      0001      
       0000         110000     0     |      0001      
       0000         110000     1     |      0001      
       0000         110001     0     |      0001      
       0000         110001     1     |      0001      
       0000         110010     0     |      0001      
       0000         110010     1     |      0001      
       0000         110011     0     |      0001      
       0000         110011     1     |      0001      
       0000         110100     0     |      0001      
       0000         110100     1     |      0001      
       0000         110101     0     |      0001      
       0000         110101     1     |      0001      
       0000         110110     0     |      0001      
       0000         110110     1     |      0001      
       0000         110111     0     |      0001      
       0000         110111     1     |      0001      
       0000         111000     0     |      0001      
       0000         111000     1     |      0001      
       0000         111001     0     |      0001      
       0000         111001     1     |      0001      
       0000         111010     0     |      0001      
       0000         111010     1     |      0001      
       0000         111011     0     |      0001      
       0000         111011     1     |      0001      
       0000         111100     0     |      0001      
       0000         111100     1     |      0001      
       0000         111101     0     |      0001      
       0000         111101     1     |      0001      
       0000         111110     0     |      0001      
       0000         111110     1     |      0001      
       0000         111111     0     |      0001      
       0000         111111     1     |      0001      
       0001         000000     0     |      0110      
       0001         000000     1     |      0110      
       0001         000001     0     |      1010      
       0001         000001     1     |      1010      
       0001         000010     0     |      1001      
       0001         000010     1     |      1001      
       0001         000011     0     |      1010      
       0001         000011     1     |      1010      
       0001         000100     0     |      1000      
       0001         000100     1     |      1000      
       0001         000101     0     |      1010      
       0001         000101     1     |      1010      
       0001         000110     0     |      1010      
       0001         000110     1     |      1010      
       0001         000111     0     |      1010      
       0001         000111     1     |      1010      
       0001         001000     0     |      1010      
       0001         001000     1     |      1010      
       0001         001001     0     |      1010      
       0001         001001     1     |      1010      
       0001         001010     0     |      1010      
       0001         001010     1     |      1010      
       0001         001011     0     |      1010      
       0001         001011     1     |      1010      
       0001         001100     0     |      1010      
       0001         001100     1     |      1010      
       0001         001101     0     |      1010      
       0001         001101     1     |      1010      
       0001         001110     0     |      1010      
       0001         001110     1     |      1010      
       0001         001111     0     |      1010      
       0001         001111     1     |      1010      
       0001         010000     0     |      1010      
       0001         010000     1     |      1010      
       0001         010001     0     |      1010      
       0001         010001     1     |      1010      
       0001         010010     0     |      1010      
       0001         010010     1     |      1010      
       0001         010011     0     |      1010      
       0001         010011     1     |      1010      
       0001         010100     0     |      1010      
       0001         010100     1     |      1010      
       0001         010101     0     |      1010      
       0001         010101     1     |      1010      
       0001         010110     0     |      1010      
       0001         010110     1     |      1010      
       0001         010111     0     |      1010      
       0001         010111     1     |      1010      
       0001         011000     0     |      1010      
       0001         011000     1     |      1010      
       0001         011001     0     |      1010      
       0001         011001     1     |      1010      
       0001         011010     0     |      1010      
       0001         011010     1     |      1010      
       0001         011011     0     |      1010      
       0001         011011     1     |      1010      
       0001         011100     0     |      1010      
       0001         011100     1     |      1010      
       0001         011101     0     |      1010      
       0001         011101     1     |      1010      
       0001         011110     0     |      1010      
       0001         011110     1     |      1010      
       0001         011111     0     |      1010      
       0001         011111     1     |      1010      
       0001         100000     0     |      1010      
       0001         100000     1     |      1010      
       0001         100001     0     |      1010      
       0001         100001     1     |      1010      
       0001         100010     0     |      1010      
       0001         100010     1     |      1010      
       0001         100011     0     |      0010      
       0001         100011     1     |      0010      
       0001         100100     0     |      1010      
       0001         100100     1     |      1010      
       0001         100101     0     |      1010      
       0001         100101     1     |      1010      
       0001         100110     0     |      1010      
       0001         100110     1     |      1010      
       0001         100111     0     |      1010      
       0001         100111     1     |      1010      
       0001         101000     0     |      1010      
       0001         101000     1     |      1010      
       0001         101001     0     |      1010      
       0001         101001     1     |      1010      
       0001         101010     0     |      1010      
       0001         101010     1     |      1010      
       0001         101011     0     |      0010      
       0001         101011     1     |      0010      
       0001         101100     0     |      1010      
       0001         101100     1     |      1010      
       0001         101101     0     |      1010      
       0001         101101     1     |      1010      
       0001         101110     0     |      1010      
       0001         101110     1     |      1010      
       0001         101111     0     |      1010      
       0001         101111     1     |      1010      
       0001         110000     0     |      1010      
       0001         110000     1     |      1010      
       0001         110001     0     |      1010      
       0001         110001     1     |      1010      
       0001         110010     0     |      1010      
       0001         110010     1     |      1010      
       0001         110011     0     |      1010      
       0001         110011     1     |      1010      
       0001         110100     0     |      1010      
       0001         110100     1     |      1010      
       0001         110101     0     |      1010      
       0001         110101     1     |      1010      
       0001         110110     0     |      1010      
       0001         110110     1     |      1010      
       0001         110111     0     |      1010      
       0001         110111     1     |      1010      
       0001         111000     0     |      1010      
       0001         111000     1     |      1010      
       0001         111001     0     |      1010      
       0001         111001     1     |      1010      
       0001         111010     0     |      1010      
       0001         111010     1     |      1010      
       0001         111011     0     |      1010      
       0001         111011     1     |      1010      
       0001         111100     0     |      1010      
       0001         111100     1     |      1010      
       0001         111101     0     |      1010      
       0001         111101     1     |      1010      
       0001         111110     0     |      1010      
       0001         111110     1     |      1010      
       0001         111111     0     |      1010      
       0001         111111     1     |      1010      
       0010         000000     0     |      0011      
       0010         000000     1     |      0011      
       0010         000001     0     |      0011      
       0010         000001     1     |      0011      
       0010         000010     0     |      0011      
       0010         000010     1     |      0011      
       0010         000011     0     |      0011      
       0010         000011     1     |      0011      
       0010         000100     0     |      0011      
       0010         000100     1     |      0011      
       0010         000101     0     |      0011      
       0010         000101     1     |      0011      
       0010         000110     0     |      0011      
       0010         000110     1     |      0011      
       0010         000111     0     |      0011      
       0010         000111     1     |      0011      
       0010         001000     0     |      0101      
       0010         001000     1     |      0101      
       0010         001001     0     |      0101      
       0010         001001     1     |      0101      
       0010         001010     0     |      0101      
       0010         001010     1     |      0101      
       0010         001011     0     |      0101      
       0010         001011     1     |      0101      
       0010         001100     0     |      0101      
       0010         001100     1     |      0101      
       0010         001101     0     |      0101      
       0010         001101     1     |      0101      
       0010         001110     0     |      0101      
       0010         001110     1     |      0101      
       0010         001111     0     |      0101      
       0010         001111     1     |      0101      
       0010         010000     0     |      0011      
       0010         010000     1     |      0011      
       0010         010001     0     |      0011      
       0010         010001     1     |      0011      
       0010         010010     0     |      0011      
       0010         010010     1     |      0011      
       0010         010011     0     |      0011      
       0010         010011     1     |      0011      
       0010         010100     0     |      0011      
       0010         010100     1     |      0011      
       0010         010101     0     |      0011      
       0010         010101     1     |      0011      
       0010         010110     0     |      0011      
       0010         010110     1     |      0011      
       0010         010111     0     |      0011      
       0010         010111     1     |      0011      
       0010         011000     0     |      0101      
