# Truth table
# Exported on Tue Aug 31 22:26:54 CEST 2021

# Hints and Notes on Formatting:
# * You can edit this file then import it back into Logisim!
# * Anything after a '#' is a comment and will be ignored.
# * Blank lines and separator lines (e.g., ~~~~~~) are ignored.
# * Keep column names simple (no spaces, punctuation, etc.)
# * 'Name[N..0]' indicates an N+1 bit variable, whereas
#   'Name' by itself indicates a 1-bit variable.
# * You can use 'x' or '-' to indicate "don't care" for both
#   input and output bits.
# * You can use binary (e.g., '10100011xxxx') notation or
#   or hex (e.g., 'C3x'). Logisim will figure out which is which.

CurrentState[3..0] | PCWriteCond PCWrite IorD MemRead MemWrite MemtoReg IRWrite CauseWrite IntCause EPCWrite PCSource[1..0] ALUOp[1..0] ALUSrcA ALUSrcB[2..0] RegWrite RegDst[1..0]
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
       0000        |      0         1     0      1       0        0        1        0         0        0           00           00         0         001         0          00     
       0001        |      0         0     0      0       0        0        0        0         0        0           00           00         0         011         0          00     
       0001        |      0         0     0      0       0        0        0        0         0        0           00           00         0         011         0          00     
       0001        |      0         0     0      0       0        0        0        0         0        0           00           00         0         011         0          00     
       0001        |      0         0     0      0       0        0        0        0         0        0           00           00         0         011         0          00     
       0001        |      0         0     0      0       0        0        0        0         0        0           00           00         0         011         0          00     
       0001        |      0         0     0      0       0        0        0        0         0        0           00           00         0         011         0          00     
       0001        |      0         0     0      0       0        0        0        0         0        0           00           00         0         011         0          00     
       0001        |      0         0     0      0       0        0        0        0         0        0           00           00         0         011         0          00     
       0001        |      0         0     0      0       0        0        0        0         0        0           00           00         0         011         0          00     
       0001        |      0         0     0      0       0        0        0        0         0        0           00           00         0         011         0          00     
       0001        |      0         0     0      0       0        0        0        0         0        0           00           00         0         011         0          00     
       0001        |      0         0     0      0       0        0        0        0         0        0           00           00         0         011         0          00     
       0001        |      0         0     0      0       0        0        0        0         0        0           00           00         0         011         0          00     
       0001        |      0         0     0      0       0        0        0        0         0        0           00           00         0         011         0          00     
       0010        |      0         0     0      0       0        0        0        0         0        0           00           00         1         010         0          00     
       0010        |      0         0     0      0       0        0        0        0         0        0           00           00         1         010         0          00     
       0010        |      0         0     0      0       0        0        0        0         0        0           00           00         1         010         0          00     
       0010        |      0         0     0      0       0        0        0        0         0        0           00           00         1         010         0          00     
       0010        |      0         0     0      0       0        0        0        0         0        0           00           00         1         010         0          00     
       0010        |      0         0     0      0       0        0        0        0         0        0           00           00         1         010         0          00     
       0010        |      0         0     0      0       0        0        0        0         0        0           00           00         1         010         0          00     
       0011        |      0         0     1      1       0        0        0        0         0        0           00           00         0         000         0          00     
       0100        |      0         0     0      0       0        1        0        0         0        0           00           00         0         000         1          00     
       0101        |      0         0     1      0       1        0        0        0         0        0           00           00         0         000         0          00     
       0110        |      0         0     0      0       0        0        0        0         0        0           00           10         1         000         0          00     
       0111        |      0         0     0      0       0        0        0        0         0        0           00           00         0         000         1          01     
       0111        |      0         0     0      0       0        0        0        0         0        0           00           00         0         000         1          01     
       1000        |      1         0     0      0       0        0        0        0         0        0           01           01         1         000         0          00     
       1001        |      0         1     0      0       0        0        0        0         0        0           10           00         0         000         0          00     
       1010        |      0         1     0      0       0        0        0        1         0        1           11           01         0         001         0          00     
       1011        |      0         1     0      0       0        0        0        1         1        1           11           01         0         001         0          00     
       1100        |      0         0     0      0       0        0        0        0         0        0           00           00         0         100         0          00     
       1101        |      0         1     0      0       0        0        0        0         0        0           10           00         0         000         1          10     
       111-        |      -         -     -      -       -        -        -        -         -        -           --           --         -         ---         -          --     
